Material,Value
LiNi0.5Mn1.5O4,0.7
LiNi0.5Mn1.5O4,3.7
LiNi0.5Mn1.5O4,0.16
LiNi0.5Mn1.5O4,4.2
LiNi0.5Mn1.5O4,2.5
LiNi0.5Mn1.5O4,4.77
LiNi0.5Mn1.5O4,0.00014
LiNi0.5Mn1.5O4,0.024
LiNi0.5Mn1.5O4,4.83
LiNi0.5Mn1.5O4,4.824
LiNi0.5Mn1.5O4,4.64
LiNi0.5Mn1.5O4,2.72
LiNi0.5Mn1.5O4,4.85
LiNi0.5Mn1.5O4,3.8
LiNi0.5Mn1.5O4,4.9
LiNi0.5Mn1.5O4,4.84
LiNi0.5Mn1.5O4,2.82
LiNi0.5Mn1.5O4,1.5
LiNi0.5Mn1.5O4,0.00027
LiNi0.5Mn1.5O4,1.3
LiNi0.5Mn1.5O4,3.67
LiNi0.5Mn1.5O4,4.76
LiNi0.5Mn1.5O4,3.2
LiNi0.5Mn1.5O4,4.724
LiNi0.5Mn1.5O4,0.262
LiNi0.5Mn1.5O4,0.00012
LiNi0.5Mn1.5O4,4.6
LiNi0.5Mn1.5O4,5.2
LiNi0.5Mn1.5O4,0.075
LiNi0.5Mn1.5O4,2.95
LiNi0.5Mn1.5O4,4.55
LiNi0.5Mn1.5O4,3.6
LiNi0.5Mn1.5O4,2.00E-05
LiNi0.5Mn1.5O4,4.1
LiNi0.5Mn1.5O4,5.5
LiNi0.5Mn1.5O4,4.79
LiNi0.5Mn1.5O4,4.90E-05
LiNi0.5Mn1.5O4,2.62
LiNi0.5Mn1.5O4,2.50E-05
LiNi0.5Mn1.5O4,5.1
LiNi0.5Mn1.5O4,2.4
LiNi0.5Mn1.5O4,3
LiNi0.5Mn1.5O4,4.688
LiNi0.5Mn1.5O4,0.17
LiNi0.5Mn1.5O4,4.5
LiNi0.5Mn1.5O4,2.7
LiNi0.5Mn1.5O4,4.67
LiNi0.5Mn1.5O4,1.50E-05
LiNi0.5Mn1.5O4,4.62
LiNi0.5Mn1.5O4,4.59
LiNi0.5Mn1.5O4,2.35
LiNi0.5Mn1.5O4,7.74E-05
LiNi0.5Mn1.5O4,3.19
LiNi0.5Mn1.5O4,4.074
LiNi0.5Mn1.5O4,4.649
LiNi0.5Mn1.5O4,4.667
LiNi0.5Mn1.5O4,4
LiNi0.5Mn1.5O4,0.145
LiNi0.5Mn1.5O4,5
LiNi0.5Mn1.5O4,3.15
LiNi0.5Mn1.5O4,4.03
LiNi0.5Mn1.5O4,4.8
LiNi0.5Mn1.5O4,0.000176
LiNi0.5Mn1.5O4,4.95
LiNi0.5Mn1.5O4,4.75
LiNi0.5Mn1.5O4,4.66
LiNi0.5Mn1.5O4,3.1
LiNi0.5Mn1.5O4,6.00E-05
LiNi0.5Mn1.5O4,3.4
LiNi0.5Mn1.5O4,0.35
LiNi0.5Mn1.5O4,4.7
LiNi0.5Mn1.5O4,0.4
LiNi0.5Mn1.5O4,4.74
LiNi0.5Mn1.5O4,3.97
LiNi0.5Mn1.5O4,4.833
LiNi0.5Mn1.5O4,4.69
LiNi0.5Mn1.5O4,0.217
LiNi0.5Mn1.5O4,4.827
LiNi0.5Mn1.5O4,0.00037
LiNi0.5Mn1.5O4,0.8
LiNi0.5Mn1.5O4 ,3.6
LiNi0.5Mn1.5O4 ,4.85
LiNi0.5Mn1.5O4 ,4.68
LiNi0.5Mn1.5O4 ,4.8
LiNi0.5Mn1.5O4 ,4.46
LiNi0.5Mn1.5O4 ,5
LiNi0.5Mn1.5O4 ,4.6
LiNi0.5Mn1.5O4 ,4.9
LiNi0.5Mn1.5O4 ,3.8
LiNi0.5Mn1.5O4 ,3.5
LiNi0.5Mn1.5O4 ,4.57
LiNi0.5Mn1.5O4 ,4.3
LiNi0.5Mn1.5O4 ,3
LiNi0.5Mn1.5O4 ,4
LiNi0.5Mn1.5O4 ,4.95
LiNi0.5Mn1.5O4 / C,4.4
LiNi0.5Mn1.5O4 / C,4.25
LiNi0.5Mn1.5O4 / graphite,5
LiNi0.5Mn1.5O4 / graphite,4.8
LiNi0.5Mn1.5O4 / Li,5.3
LiNi0.5Mn1.5O4 / Li,2
LiNi0.5Mn1.5O4 / Li,4.7
LiNi0.5Mn1.5O4 / Li,4.81
LiNi0.5Mn1.5O4 / Li,4.95
LiNi0.5Mn1.5O4 / Li,5.5
LiNi0.5Mn1.5O4 / Li,3
LiNi0.5Mn1.5O4 / Li,5.1
LiNi0.5Mn1.5O4 / Li,4.06
LiNi0.5Mn1.5O4 / Li,4.61
LiNi0.5Mn1.5O4 / Li,3.5
LiNi0.5Mn1.5O4 / Li,5.2
LiNi0.5Mn1.5O4 / Li,5
LiNi0.5Mn1.5O4 / Li,0.2
LiNi0.5Mn1.5O4 / Li,0.33
LiNi0.5Mn1.5O4 / Li,4.9
LiNi0.5Mn1.5O4 / Li half-cell,3
LiNi0.5Mn1.5O4 / Li half-cell,5
LiNi0.5Mn1.5O4 / Li2ZnTi3O8,2.95
LiNi0.5Mn1.5O4 / Li2ZnTi3O8,4.6
LiNi0.5Mn1.5O4 / Li4P2O7,3
LiNi0.5Mn1.5O4 / Li4P2O7,4
LiNi0.5Mn1.5O4 / Li4P2O7,3.75
LiNi0.5Mn1.5O4 / Li4P2O7,4.55
LiNi0.5Mn1.5O4 / Li4P2O7,4.36
LiNi0.5Mn1.5O4 / Li4Ti5O12,2.6
LiNi0.5Mn1.5O4 / Li4Ti5O12,3.2
LiNi0.5Mn1.5O4 / Li4Ti5O12,3
LiNi0.5Mn1.5O4 / lithium,5
LiNi0.5Mn1.5O4 / TiO2,2.8
LiNi0.5Mn1.5O4 lithium,3
LiNi0.5Mn1.5O4 lithium,5
LiNi0.5Mn1.5O4−δ,5
LiNi0.5Mn1.5O4−x,4
LiNi0.5Mn1.5O4−xFx,5
LiNi0.5Mn1.5O4−xSx,3.5
LiNi0.5Mn1.5O4‖Sn–Fe2O3–C,3.7
LiNi0.5Mn1.5O4-xSx,3.5
LiNi0.5Mn15O4,4.9
LiNi0.5Ni0.3Co0.2O2,4.3
LiNi0.5SmxMn1.5−xO4,5
LiNi0.5Ti0.5O2,3.8
LiNi0.5Ti0.5O2,4.8
LiNi0.5Ti0.5O2,4.5
LiNi0.5Ti0.5O2,5
LiNi0.5-xYxMn1.5O4,5
LiNi0.5-xYxMn1.5O4 / graphite,4.8
LiNi0.65Co0.25Mg0.05Ti0.05O2,5.2
LiNi0.65Co0.25Mg0.05Ti0.05O2,3.5
LiNi0.65Co0.25Mg0.05Ti0.05O2,5
LiNi0.65Co0.25Mn0.10O2,4.3
LiNi0.65Co0.25Mn0.10O2,4.5
LiNi0.65Co0.25Mn0.1O2,4.5
LiNi0.68Co0.13Mn0.19O2,0.059
LiNi0.68Co0.13Mn0.19O2,0.0502
LiNi0.68Co0.13Mn0.19O2,0.0494
LiNi0.68Co0.13Mn0.19O2,4.4
LiNi0.68Co0.13Mn0.19O2,0.0844
LiNi0.6−yMgyCo0.25Mn0.15O2,4.5
LiNi0.6−yMgyCo0.25Mn0.15O2,3
LiNi0.6Co0.25Mn0.15O2,4.3
LiNi0.6Co0.25Mn0.15O2,4.5
LiNi0.6Co0.25Mn0.15O2,3
LiNi0.6Co0.2Mn0.11Mg0.09O1.96F0.04 ,4.4
LiNi0.6Co0.2Mn0.1Al0.1O2,4.9
LiNi0.6Co0.2Mn0.1Al0.1O2,2.5
LiNi0.6Co0.2Mn0.2−xMgxO2,4.5
LiNi0.6Co0.2Mn0.2−xMgxO2,2.8
LiNi0.6Co0.2Mn0.2−xMgxO2,4.3
LiNi0.6Co0.2Mn0.2−xMgxO2 ,2.8
LiNi0.6Co0.2Mn0.2−xMgxO2 ,4.5
LiNi0.6Co0.2Mn0.2−xMgxO2 ,4.3
LiNi0.6Co0.2Mn0.2O1.95F0.05,2.8
LiNi0.6Co0.2Mn0.2O1.95F0.05,4.7
LiNi0.6Co0.2Mn0.2O1.96F0.04,3
LiNi0.6Co0.2Mn0.2O2,4.2
LiNi0.6Co0.2Mn0.2O2,0.000208
LiNi0.6Co0.2Mn0.2O2,3
LiNi0.6Co0.2Mn0.2O2,4.4
LiNi0.6Co0.2Mn0.2O2,4.6
LiNi0.6Co0.2Mn0.2O2,7.10E-05
LiNi0.6Co0.2Mn0.2O2,3.7
LiNi0.6Co0.2Mn0.2O2,0.000121
LiNi0.6Co0.2Mn0.2O2,4.3
LiNi0.6Co0.2Mn0.2O2,3.71
LiNi0.6Co0.2Mn0.2O2,0.000103
LiNi0.6Co0.2Mn0.2O2,4.7
LiNi0.6Co0.2Mn0.2O2,4.5
LiNi0.6Co0.2Mn0.2O2,0.000234
LiNi0.6Co0.2Mn0.2O2,0.1
LiNi0.6Co0.2Mn0.2O2,3.699
LiNi0.6Co0.2Mn0.2O2,4.05
LiNi0.6Co0.2Mn0.2O2,2.8
LiNi0.6Co0.2Mn0.2O2,0.000134
LiNi0.6Co0.2Mn0.2O2,4.1
LiNi0.6Co0.2Mn0.2O2,3.79
LiNi0.6Co0.2Mn0.2O2,4.03
LiNi0.6Co0.2Mn0.2O2,2.5
LiNi0.6Co0.2Mn0.2O2,3.67
LiNi0.6Co0.2Mn0.2O2 ,2.8
LiNi0.6Co0.2Mn0.2O2 ,4.3
LiNi0.6Co0.2Mn0.2O2 ,4.5
LiNi0.6Co0.2Mn0.2O2 / C,4.4
LiNi0.6Co0.2Mn0.2O2 / C,4.3
LiNi0.6Co0.2Mn0.2O2 / C,4.2
LiNi0.6Co0.2Mn0.2O2 / Li,4.6
LiNi0.6Co0.2Mn0.2O2 / Li,2.8
LiNi0.6Co0.2Mn0.2O2 / Li,4.4
LiNi0.6Co0.2Mn0.2O2 / Li,4.3
LiNi0.6Co0.2Mn0.2O2−zFz,4.3
LiNi0.6Co0.2Mn0.2O2−zFz,2.8
LiNi0.6Co0.3Ti0.1O2,4.2
LiNi0.6Co0.4−xMnxO2,4.3
LiNi0.6Co0.4−xMnxO2,3
LiNi0.6CoxMn0.4−xO2,4.3
LiNi0.6CoxMn0.4-xO2,2.8
LiNi0.6CoxMn0.4-xO2,4.3
LiNi0.6CoxMn0.4-xO2(x,2.8
LiNi0.6CoxMn0.4-xO2(x,4.3
LiNi0.6Mn0.2Co0.15Al0.025Fe0.025O2,2
LiNi0.6Mn0.2Co0.15Al0.025Fe0.025O2,2.8
LiNi0.6Mn0.2Co0.2O2,4.5
LiNi0.6Mn0.2Co0.2O2,4.6
LiNi0.6Mn0.2Co0.2O2 ,2.5
LiNi0.6Mn0.2Co0.2O2 ,4.5
LiNi0.6Mn0.2Co0.2O2 / graphite,1
LiNi0.6Mn0.2Co0.2O2 / graphite,4.2
LiNi0.6Mn0.4−xCoxO2,4.3
LiNi0.6Mn0.4−xCoxO2 ,4.3
LiNi0.70Co0.30O2,3.75
LiNi0.74Co0.26O2 ,4.2
LiNi0.74Co0.26O2 ,2.75
LiNi0.75Al0.25O2,4.5
LiNi0.75Co0.15Al0.10O2,4.3
LiNi0.75Co0.25O2,3
LiNi0.75Co0.25O2,2
LiNi0.75Co0.25O2,1.35
LiNi0.75Co0.25O2,3.89
LiNi0.75Co0.25O2,0.25
LiNi0.75Co0.25O2,0.34
LiNi0.75Co0.25O2,1.75
LiNi0.75Co0.25O2,3.95
LiNi0.75Co0.25O2,3.78
LiNi0.75Co0.25O2,4.3
LiNi0.75Co0.25O2,4.5
LiNi0.75Co0.25O2,3.87
LiNi0.75Mg0.125Ti0.125O2,2.5
LiNi0.75Mg0.125Ti0.125O2,2.85
LiNi0.75Mg0.125Ti0.125O2,5.2
LiNi0.76Mn0.14Co0.10O2,4.5
LiNi0.76Mn0.14Co0.10O2,0.055
LiNi0.79Co0.1Mn0.1Cr0.01O2,4.3
LiNi0.79Co0.1Mn0.1Cr0.01O2,4
LiNi0.7Co0.1Mn0.2O2,0.000313
LiNi0.7Co0.1Mn0.2O2,0.000149
LiNi0.7Co0.1Mn0.2O2,0.000113
LiNi0.7Co0.1Mn0.2O2,4.3
LiNi0.7Co0.1Mn0.2O2,2.8
LiNi0.7Co0.1Mn0.2O2 ,4.3
LiNi0.7Co0.3O2,3.4
LiNi0.7Co0.3O2,4.1
LiNi0.7Co0.3O2,3.45
LiNi0.7Mn0.3O2,0.27
LiNi0.7Ti0.15Mg0.15O2,4.5
LiNi0.80Co0.15Al0.05O2,2.5
LiNi0.80Co0.15Zr0.05O2,3.2
LiNi0.80Co0.20O2,3.2
LiNi0.81Co0.09O2,4
LiNi0.81Co0.16Al0.03O2,3.7
LiNi0.81Co0.16O2,3.7
LiNi0.81Co0.19O2,1.5
LiNi0.81Co0.19O2,0.4
LiNi0.85−xCo0.15AlxO2,2.5
LiNi0.85−xCo0.15AlxO2,4.3
LiNi0.85Co0.05Mn0.1O2 / Si–carbon,4.15
LiNi0.85Co0.10(TiMg)0.025O2,4.3
LiNi0.85Co0.15O2,5.00E-05
LiNi0.85Co0.15O2,4.2
LiNi0.85Co0.15O2,4.5
LiNi0.85Co0.15O2,3.4
LiNi0.85Co0.15O2,4.3
LiNi0.88Co0.09Al0.03O2,4.6
LiNi0.89Al0.16O2,3
LiNi0.89Al0.16O2,4.15
LiNi0.8−x − yCo0.1Mn0.1CrxMgyO2,4.3
LiNi0.8−x − yCo0.1Mn0.1CrxMgyO2,2.7
LiNi0.8−x Co0.2Ce x O2,4.25
LiNi0.8−xCo0.2CexO2,4.25
LiNi0.8Co0.15Al0.05O2,2.5
LiNi0.8Co0.15Al0.05O2,4.10E-05
LiNi0.8Co0.15Al0.05O2,4.2
LiNi0.8Co0.15Al0.05O2,4.5
LiNi0.8Co0.15Al0.05O2,1
LiNi0.8Co0.15Al0.05O2,4.6
LiNi0.8Co0.15Al0.05O2,3.98
LiNi0.8Co0.15Al0.05O2,4.3
LiNi0.8Co0.15Al0.05O2,2.8
LiNi0.8Co0.15Al0.05O2,3.73
LiNi0.8Co0.15Al0.05O2,3
LiNi0.8Co0.15Al0.05O2,4.33
LiNi0.8Co0.15Al0.05O2,3.65
LiNi0.8Co0.15Al0.05O2,0.000125
LiNi0.8Co0.15Al0.05O2 ,4.7
LiNi0.8Co0.15Al0.05O2 ,3
LiNi0.8Co0.15Al0.05O2 / Li,4.1
LiNi0.8Co0.15Mn0.05O2,4.3
LiNi0.8Co0.15Mn0.05O2,2.75
LiNi0.8Co0.15Mn0.05O2 ,4.3
LiNi0.8Co0.15Mn0.05O2 ,2.75
LiNi0.8Co0.17Al0.03O2,4.3
LiNi0.8Co0.17Al0.03O2,2.8
LiNi0.8Co0.17Al0.03O2,3
LiNi0.8Co0.18Ga0.02O2,3.9
LiNi0.8Co0.18Ga0.02O2,3.7
LiNi0.8Co0.1Mn0.1O2,2.7
LiNi0.8Co0.1Mn0.1O2,2.8
LiNi0.8Co0.1Mn0.1O2,4.6
LiNi0.8CO0.1Mn0.1O2,4.3
LiNi0.8Co0.1Mn0.1O2,4.5
LiNi0.8Co0.1Mn0.1O2,4.3
LiNi0.8Co0.1Mn0.1O2,1.30E-05
LiNi0.8Co0.1Mn0.1O2,3.62
LiNi0.8Co0.1Mn0.1O2,3.80E-05
LiNi0.8Co0.1Mn0.1O2,4.8
LiNi0.8Co0.1Mn0.1O2,0.000264
LiNi0.8Co0.1Mn0.1O2 ,4.5
LiNi0.8Co0.1Mn0.1O2 − zFz,4.3
LiNi0.8Co0.1Mn0.1O2 − zFz,2.8
LiNi0.8Co0.1Mn0.1O2−zFz,4.3
LiNi0.8Co0.1Mn0.1O2−zFz,2.8
LiNi0.8Co0.1Ti0.2O2,4.4
LiNi0.8Co0.2−xAlxO2,4.3
LiNi0.8Co0.2−xAlxO2,3
LiNi0.8Co0.2Al0.05O2 ,4.2
LiNi0.8Co0.2Al0.05O2 ,3.75
LiNi0.8Co0.2O2,3.6956
LiNi0.8Co0.2O2,3.76
LiNi0.8Co0.2O2,3
LiNi0.8Co0.2O2,3.4
LiNi0.8Co0.2O2,3.99
LiNi0.8Co0.2O2,3.42
LiNi0.8Co0.2O2,3.5637
LiNi0.8Co0.2O2,4.35
LiNi0.8Co0.2O2,3.6
LiNi0.8Co0.2O2,3.7
LiNi0.8Co0.2O2,2
LiNi0.8Co0.2O2,4.3
LiNi0.8Co0.2O2,4.6
LiNi0.8Co0.2O2,4.01325
LiNi0.8Co0.2O2,3.73292
LiNi0.8Co0.2O2,3.75
LiNi0.8Co0.2O2,3.64
LiNi0.8Co0.2O2,0.06963
LiNi0.8Co0.2O2,0.077904
LiNi0.8Co0.2O2,4.2
LiNi0.8Co0.2O2,4
LiNi0.8Co0.2O2,2.8
LiNi0.8Co0.2O2,3.94332
LiNi0.8Co0.2O2,3.8
LiNi0.8Co0.2O2,0.114095
LiNi0.8Co0.2O2,3.9
LiNi0.8Co0.2O2,4.4
LiNi0.8Co0.2O2,4.19329
LiNi0.8Co0.2O2,4.8
LiNi0.8Co0.2O2,4.14
LiNi0.8Co0.2O2,3.92
LiNi0.8Co0.2O2,4.0933
LiNi0.8Co0.2O2,4.01
LiNi0.8Co0.2O2,3.2
LiNi0.8Co0.2O2,3.63294
LiNi0.8Co0.2O2,2.00E-05
LiNi0.8Co0.2O2,2.5
LiNi0.8Co0.2O2,3.78
LiNi0.8Co0.2O2,4.1
LiNi0.8Co0.2O2 ,4.3
LiNi0.8Co0.2O2 ,4.25
LiNi0.8Co0.2O2 ,2.75
LiNi0.8Co0.2O2 ,4.2
LiNi0.8Co0.2O2 ,3
LiNi0.8Co0.2O2 ( 0 0 3 ),5
LiNi0.8Co0.2O2 ( 0 0 3 ),4.5
LiNi0.8Co0.2O2 ( 0 0 3 ),3
LiNi0.8Co0.2O2 ( 1 1 0 ),4.2
LiNi0.8Co0.2O2 ( 1 1 0 ),2
LiNi0.8Co0.2O2 ( 1 1 0 ),5
LiNi0.8Co0.2O2 / Li,4.05
LiNi0.8Co0.2O2 / LiPF6,4.3
LiNi0.8Co0.2PO4,4.7
LiNi0.8Co0.2PO4,3.5
LiNi0.8Co0.2PO4,5.4
LiNi0.8Co0.2PO4,5
LiNi0.8Co0.2PO4,6
LiNi0.8Co0.2PO4 / C,4.7
LiNi0.8Co0.2PO4 / C ,3.2
LiNi0.8Co0.2PO4 / C ,5.6
LiNi0.8CoxMn0.2-xO2,4.3
LiNi0.8CoxMn0.2-xO2,4.6
LiNi0.8CoxMn0.2-xO2,2.5
LiNi0.8Mn0.1−x Co0.1Mo x O2,4.3
LiNi0.8Mn0.1−xCo0.1MoxO2,3
LiNi0.8Mn0.1Co0.1O2,4.5
LiNi0.8Sb0.2O2,4.07
LiNi0.8Sb0.2O2,3.88
LiNi0.90Co0.05Mn0.05O2,4.5
LiNi0.90Co0.05Mn0.05O2,4.3
LiNi0.91Co0.09O2,4.1
LiNi0.975Ga0.025O2,3.6
LiNi0.975Ga0.025O2,3.8
LiNi0.975Ga0.025O2,4.22
LiNi0.975Ga0.025O2,3.95
LiNi0.975Ga0.025O2,3.71
LiNi0.975Ga0.025O2,4.02
LiNi0.975Ga0.025O2,4.15
LiNi0.975Ga0.025O2,3.61
LiNi0.975Ga0.025O2,4.04
LiNi0.975Ga0.025O2,3.73
LiNi0.975Ga0.025O2,4.26
LiNi0.975Ga0.025O2,3.78
LiNi0.975Ga0.025O2,3.96
LiNi0.975Ti0.025O2,4.25
LiNi0.98Ga0.02O2,4.3
LiNi0.98Ga0.02O2,3
LiNi0.990Ti0.010O2,2.7
LiNi0.990Ti0.010O2,4.4
LiNi0.990Ti0.010O2,2.8
LiNi0.990Ti0.010O2,4.3
LiNi0.995Al0.005O2,4.4
LiNi0.9Co0.05Mn0.025Mg0.025O2,4.3
LiNi0.9Co0.05Mn0.025Mg0.025O2,4.2
LiNi0.9Co0.05Mn0.025Mg0.025O2,2.8
LiNi0.9Co0.07Al0.03O2,4.3
LiNi0.9Co0.07Al0.03O2,3.72
LiNi0.9Co0.07Al0.03O2,4.5
LiNi0.9Co0.07Al0.03O2,2.8
LiNi0.9Co0.07Al0.03O2 ,3.83
LiNi0.9Co0.07Al0.03O2 ,3.72
LiNi0.9Co0.07Mg0.03O2,4.7
LiNi0.9Co0.07Mg0.03O2,4.3
LiNi0.9Co0.07Mg0.03O2,4.5
LiNi0.9Co0.1O2,4.2
LiNi0.9Co0.1O2,4.5
LiNi0.9Co0.1O2,4.9
LiNi0.9Co0.1O2,2.75
LiNi0.9Co0.1O2,3.4
LiNi0.9Co0.1O2,4.6
LiNi0.9Co0.1O2,4.4
LiNi0.9Co0.1O2,3.8
LiNi0.9Co0.1O2,4.3
LiNi0.9Co0.1O2 ,4.35
LiNi0.9Co0.1O2 ,3
LiNi0·9Co0.07,4.5
LiNi1,4.3
LiNi1 / 2Mn3 / 2O4,4.5
LiNi1 / 2Mn3 / 2O4,5
LiNi1 / 2Mn3 / 2O4,0.3
LiNi1 / 2Mn3 / 2O4,4.4
LiNi1 / 2Mn3 / 2O4,4.76
LiNi1 / 2Mn3 / 2O4,4.72
LiNi1 / 2Mn3 / 2O4,4.75
LiNi1 / 2Mn3 / 2O4,4
LiNi1 / 3Co1 / 3−yMn1 / 3O2,3
LiNi1 / 3Co1 / 3−yMn1 / 3O2,4.6
LiNi1 / 3Co1 / 3Mn1 / 3−xAlxO2,4.3
LiNi1 / 3Co1 / 3Mn1 / 3−xNbxO2,3
LiNi1 / 3Co1 / 3Mn1 / 3−xNbxO2,4.6
LiNi1 / 3Co1 / 3Mn1 / 3−y Al y O2,5
LiNi1 / 3Co1 / 3Mn1 / 3−yAlyO2,5
LiNi1 / 3Co1 / 3Mn1 / 3−yAlyO2,2.5
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.000111
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.6793
LiNi1 / 3Co1 / 3Mn1 / 3O2,2
LiNi1 / 3Co1 / 3Mn1 / 3O2,5
LiNi1 / 3Co1 / 3Mn1 / 3O2,2.7
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.00025
LiNi1 / 3Co1 / 3Mn1 / 3O2,2.8
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.75
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.71
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.6113
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.787
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.82
LiNi1 / 3Co1 / 3Mn1 / 3O2,2.75
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.25
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.7
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.733
LiNi1 / 3Co1 / 3Mn1 / 3O2,1.1
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.000259
LiNi1 / 3Co1 / 3Mn1 / 3O2,2.2
LiNi1 / 3Co1 / 3Mn1 / 3O2,1.3
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.8
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.229
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.9526
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.9
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.3
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.068
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.9
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.7
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.55
LiNi1 / 3Co1 / 3Mn1 / 3O2,1
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.119
LiNi1 / 3Co1 / 3Mn1 / 3O2,3
LiNi1 / 3Co1 / 3Mn1 / 3O2,4
LiNi1 / 3Co1 / 3Mn1 / 3O2,7.00E-05
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.57
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.2
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.8
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.5
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.2
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.000341
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.237
LiNi1 / 3Co1 / 3Mn1 / 3O2,3.6
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.4
LiNi1 / 3Co1 / 3Mn1 / 3O2,2.5
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.43
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.0001
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.65
LiNi1 / 3Co1 / 3Mn1 / 3O2,0.8
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.1035
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.6
LiNi1 / 3Co1 / 3Mn1 / 3O2,1.4
LiNi1 / 3Co1 / 3Mn1 / 3O2,4.5
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,3.7
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,0.8
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,4.3
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,4.5
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,2.5
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,3.9
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,4.6
LiNi1 / 3Co1 / 3Mn1 / 3O2 ,3.6
LiNi1 / 3Co1 / 3Mn1 / 3O2(1−18),4.5
LiNi1 / 3Co1 / 3Mn1 / 3O2−zFz,2.5
LiNi1 / 3Co1 / 3Mn1 / 3O2−zFz,4.6
LiNi1 / 3Co1 / 3Mn1 / 3O2vs,0.161
LiNi1 / 3Co1 / 3Mn1 / 3VO4,4.5
LiNi1 / 3Co1 / 3Mn1 / 3VO4,4.9
LiNi1 / 3Co1 / 3Mn1 / 3VO4,4.3
LiNi1 / 3Mn1 / 3Co1 / 3O2,3.7
LiNi1 / 3Mn1 / 3Co1 / 3O2,3.6
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.54
LiNi1 / 3Mn1 / 3Co1 / 3O2,2.8
LiNi1 / 3Mn1 / 3Co1 / 3O2,3.811
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.6
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.1
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.5
LiNi1 / 3Mn1 / 3Co1 / 3O2,4
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.2
LiNi1 / 3Mn1 / 3Co1 / 3O2,2.3
LiNi1 / 3Mn1 / 3Co1 / 3O2,3.91
LiNi1 / 3Mn1 / 3Co1 / 3O2,2.5
LiNi1 / 3Mn1 / 3Co1 / 3O2,3.794
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.7
LiNi1 / 3Mn1 / 3Co1 / 3O2,3
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.3
LiNi1 / 3Mn1 / 3Co1 / 3O2,3.767
LiNi1 / 3Mn1 / 3Co1 / 3O2,3.9
LiNi1 / 3Mn1 / 3Co1 / 3O2,4.4
LiNi1 / 3Mn1 / 3Co1 / 3O2 ,4.6
LiNi1 / 3Mn1 / 3Co1 / 3O2 ,4.5
LiNi1 / 3Mn1 / 3Co1 / 3O2 ,4.2
LiNi1 / 3Mn1 / 3Co1 / 3O2 ,2.5
LiNi1 / 3Mn1 / 3Co1 / 3O2 / C,4.7
LiNi1 / 3Mn1 / 3Co1 / 3O2 / C,2
LiNi1 / 3Mn1 / 3Co1 / 3O2 / C,4.4
LiNi1 / 3Mn1 / 3Co1 / 3O2 / C,2.5
LiNi1 / 3Mn1 / 3Co1 / 3O2:LiNi0.5Mn0.5O2 ,4.2
LiNi1.5Mn0.5O4,5
LiNi1-2xCoxMnxO2,4.3
LiNi1−x − yCoxAlyO2,4.3
LiNi1−x − yCoxAlyO2,2.8
